uid,Map_changes,Reverted_changes,restored_map_edits,nodes_Created,nodes_Modified,nodes_Deleted,Ways_Created,Ways_Modified,Ways_Deleted,Relations_Deleted,Median_length,Registered_timeStamp,average_year,efficient_year,acc,class,weekday,weekend
7460430,259,0,0,227,4,0,26,2,0,0,8,1515715200,0.333333333,0.333333333,0.894750293,1,19,0
8114361,845,0,0,660,10,4,109,61,1,0,7,1523664000,0.666666667,0.166666667,0.885903684,1,6,13
10859977,2055,15,8,1277,315,32,247,174,8,0,2,1583366400,1.75,0.25,0.936605842,1,17,2
11715425,239,0,0,152,19,0,36,21,0,0,4,1598486400,2,1,0.836166426,1,8,11
1984668,370,0,0,267,20,4,42,37,0,0,7,1394755200,0.4,0.4,0.888536707,1,18,1
2503640,1915,0,61,1095,111,29,332,332,11,0,26,1417737600,1.444444444,0.555555556,0.920756595,1,16,3
3320809,1260,2,0,675,133,34,124,261,15,2,14,1445212800,0.375,0.125,0.93567082,1,19,0
3713193,203,0,0,174,3,0,22,4,0,0,16,1457913600,1.25,0.625,0.907091307,1,19,0
4803046,2044,0,0,1725,22,1,285,9,0,0,90,1477872000,1.428571429,0.285714286,0.904884654,1,13,6
16179192,1474,0,0,1029,66,82,177,99,21,0,8.5,1654128000,1,0.5,0.865015454,1,18,0
16581858,898,0,0,802,6,0,70,20,0,0,23.5,1658102400,3.5,1,0.915802954,1,18,0
7120246,4216,0,0,3000,74,122,587,408,24,0,7.5,1512086400,1,0.5,0.915761217,1,15,3
7446468,136,0,0,72,0,38,16,1,9,0,1,1515456000,1.333333333,0.5,0.916484963,1,5,13
8895739,1862,0,0,1363,34,27,250,184,4,0,8,1538352000,3,0.4,0.913466205,1,16,2
12650877,90,0,0,8,36,22,2,10,4,0,48,1613088000,1.666666667,0.666666667,0.874614273,1,18,0
1207628,1790,0,0,1466,51,38,176,55,3,0,0,1358812800,0.818181818,0.272727273,0.913022197,1,18,0
1328899,315,0,0,153,10,20,20,109,3,0,24,1365033600,0.636363636,0.272727273,0.914970112,1,11,7
1966463,119,2,0,42,39,10,4,23,0,0,96,1393891200,0.1,0.1,0.949366872,1,18,0
2126692,627,0,0,503,0,5,118,0,1,0,0,1402876800,0.1,0.1,0.94022581,1,18,0
3235993,49,0,0,15,9,8,3,13,1,0,4.5,1442188800,0.625,0.375,0.841805583,1,18,0
3522215,1038,1,0,666,6,162,133,37,34,0,14,1452470400,0.625,0.375,0.856274047,1,8,10
3571864,563,1,0,454,3,4,94,6,2,0,44,1453939200,0.5,0.25,0.768852168,0,18,0
3612858,125,0,0,101,0,0,17,7,0,0,10,1454976000,0.125,0.125,0.916882005,1,18,0
5517259,18,0,0,12,2,0,0,4,0,0,16,1489881600,0.571428571,0.142857143,0.933895145,1,15,3
17306531,491,0,0,292,55,34,54,54,1,0,13,1664755200,10,1,0.87094745,1,17,0
6645137,723,0,0,257,386,7,37,36,0,0,8,1505260800,1.333333333,0.333333333,0.897188148,1,16,1
