uid,mapping_days,Map_changes,Reverted_changes,restored_changesets,restored_map_edits,revert_contributors,Discussed_changesets,dis_responses,com_changesets,num_comments,nodes_Created,nodes_Modified,nodes_Deleted,Ways_Created,Ways_Modified,Ways_Deleted,Relations_Created,Relations_Modified,Relations_Deleted,Overall,comments,Unique_comments,Median_length,Registered_timeStamp,Sun,Mon,Tue,Wed,Thu,Fri,Sat,years_passed,average_year,efficient_year,iD,JOSM,JOSM (Reverter),Potlatch,Merkaartor,Vespucci,Go Map!!,StreetComplete,OsmAnd,Maps.Me,Level0,Every Door,RapiD,Pic4Review,Rosemary,Mapzen,unKnowEditors,acc
473602,327,193776,143,72,113,34,32,13,18,21,79292,47463,14121,13736,35240,2440,300,1130,19,4666,4649,1013,11.0,1308441600,945,1415,769,336,389,346,466,13,25.15384615384616,0.3846153846153846,90.48435490784398,0.0,0.0,0.4714959279897128,0.0,0.0,6.750964423489069,0.0,0.0,0.0,0.0,0.0,2.1431633090441493,0.0,0.0,0.0,0.1500214316330904,0.9391228857239112
474873,499,37059,4,2,2,2,0,0,0,0,1009,3267,152,215,32289,22,0,53,0,5299,5299,224,25.0,1308614400,833,689,883,644,570,721,959,13,38.38461538461539,0.7692307692307693,0.7548594074353652,0.0188714851858841,0.0,0.2075863370447254,0.0,0.0,0.0,98.88658237403284,0.0943574259294206,0.0,0.0,0.0,0.0,0.0377429703717682,0.0,0.0,0.0,0.8685731197538151
479232,42,7760,15,1,2,1,7,2,5,10,556,392,346,201,6113,54,21,76,0,267,267,100,26.0,1309305600,78,13,49,26,6,28,67,13,3.230769230769231,0.6923076923076923,24.719101123595504,1.1235955056179776,0.0,0.3745318352059925,0.0,0.0,0.0,73.78277153558052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.923281746113825
481245,263,140675,11,9,10,9,11,2,2,2,90530,21809,6725,12471,8362,477,151,143,6,843,842,516,37.0,1309651200,181,111,88,96,79,80,208,13,20.23076923076923,0.7692307692307693,96.55990510083036,0.5931198102016607,0.0,0.8303677342823249,0.0,0.0,1.8979833926453145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1186239620403321,0.0,0.965751803407285
502142,999,1933479,116,60,76,38,0,0,0,0,1129996,412328,151077,115273,114669,6580,408,2644,20,6727,6725,4126,42.0,1312588800,1356,852,912,852,923,823,1009,12,83.25,0.9166666666666666,0.3716366879738367,89.9360784896685,0.0,9.692284822357664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.92042587679451
542403,1591,743513,3076,260,1652,107,23,11,20,26,374238,68860,157555,28048,95305,10815,2825,5756,80,10379,2732,1385,0.0,1319328000,932,1710,1749,1912,1759,1534,783,12,132.58333333333334,1.0,59.28316793525388,17.506503516716446,0.0,23.210328548029675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9692698545638294
2223971,63,16104,0,1,1,1,0,0,0,0,10889,1444,889,1815,957,99,3,6,2,430,28,11,0.0,1406678400,46,92,24,91,104,33,40,10,6.3,0.5,96.74418604651164,3.255813953488372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9063722849997746
2238844,18,6496,7,0,0,0,0,0,0,0,5091,145,151,627,460,19,2,1,0,289,270,15,3.0,1407283200,31,47,9,110,60,30,2,9,2.0,0.4444444444444444,94.4636678200692,0.0,0.0,5.536332179930796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8263724765232062
2278988,9,1269,0,0,0,0,0,0,0,0,1003,16,4,186,59,1,0,0,0,18,8,3,0.0,1408579200,3,4,1,2,7,1,0,9,1.0,0.3333333333333333,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9178706035494716
2337040,787,190371,755,197,1561,107,40,30,117,158,65529,18827,26701,18158,46326,4995,2469,7001,365,1699,1663,1056,26.0,1410739200,303,269,210,213,212,203,289,9,87.44444444444444,1.0,1.1189634864546525,92.75618374558304,2.237926972909305,0.2355712603062426,0.0,3.53356890459364,0.0,0.0,0.1177856301531213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96667556471704
2411181,3,68,0,0,0,0,0,0,0,0,50,7,0,7,4,0,0,0,0,18,13,3,5.0,1413676800,15,3,0,0,0,0,0,9,0.3333333333333333,0.3333333333333333,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.92124195781311
2475974,1773,7468318,275,348,1479,108,7,5,15,20,4708734,910732,1354145,279404,160103,40589,3609,10482,516,7899,7714,2865,45.0,1416441600,903,1120,1316,1255,1112,1266,927,9,197.0,1.0,2.0508925180402584,97.93644765160148,0.0126598303582732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.966750610145594
2483802,59,7819716,5,8,12,7,7,0,0,0,7116290,108160,150086,365274,16995,2872,59189,483,367,524,524,147,84.0,1416787200,49,106,73,105,95,59,37,9,6.555555555555555,0.2222222222222222,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9447457969965136
2505047,2,669,0,0,0,0,0,0,0,0,329,213,37,58,30,1,1,0,0,22,7,2,0.0,1417737600,0,0,0,13,0,0,9,9,0.2222222222222222,0.2222222222222222,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9559922970336816
2518150,912,2897533,118,41,156,31,14,3,6,6,2423222,167547,90000,138879,63947,13102,1528,393,44,3725,3713,519,62.0,1418428800,778,467,478,418,454,381,749,9,101.33333333333331,1.0,99.89261744966444,0.0805369127516778,0.0,0.0268456375838926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9122966697728468
